start	end	text
0	11000	マディウェブポッドキャストは、マディの意味が泥であるように ウェブフロントエンドの開発現場における泥臭い話などから学びを得ることを目的とし、
11000	19000	実際に明日から使えるかもしれないウェブフロントエンド知識や美術を参加者の皆様と共有し合うことを通して、
19000	24000	フロントエンド海外の役に立てるように思いを込めて発信しています。
25000	28000	それではマディウェブポッドキャストを始めていきたいと思います。
28000	33000	走りデータは私、株式会社シロックより石井がお送りいたします。
33000	41000	本日ゲストにお越しいただいています、サイバーファイトDX事業本部より久保陽一郎さんです。
41000	47000	はい、どうもこんにちは。ご紹介にあずかりました久保陽一郎と申します。よろしくお願いいたします。
47000	50000	よろしくお願いいたします。すみません、本日来ていただいてありがとうございます。
50000	52000	こちらこそありがとうございます。
52000	57000	軽く最初に自己紹介の方、どこの事業部だとか紹介してもらっていいですか。
57000	63000	はい、かしこまりました。私、株式会社サイバーファイトのDX事業本部というところに所属しております。
63000	71000	久保陽一郎と申します。2016年にサイバーエージェントに入社しまして、今もう7年目になります。
71000	76000	サイバーファイトDX事業本部でウェストユニバースというサービスがあるんですけれども、
76000	80000	そちらのウェブのリーダーをやらせていただいております。本日はよろしくお願いいたします。
80000	85000	はい、よろしくお願いいたします。先ほどサービスの名前も出てきたんですけども、
85000	94000	今日お話ししていただく内容がウェストユニバースのウェブの海外対応について話していきたいと思うんですけども、
94000	98000	まず多分聞いている人はどんなサービスかというのは分からないので、
98000	101000	簡単に説明をいただきたいと思います。
101000	106000	ウェストユニバースというサービス、名前から分かっちゃうところもあると思うんですけれども、
106000	109000	プロレスの動画サービスになります。
109000	114000	サイバーファイトという会社にはトータルで4つのプロレス団体がありまして、
114000	120000	そこの団体の興行ですね。試合の映像だったりだとか、ちょっとした企画の映像だったりだとか、
120000	123000	そういった動画を配信しているサービスになります。
123000	128000	こちらはウェブとアプリで展開しているサービスになります。
128000	129000	はい、ありがとうございます。
129000	132000	内野さんはウェブの方をやられているんですよね。
132000	133000	はい、そうです。
133000	136000	今回、海外展開ですか?
136000	137000	そうですね、はい。
137000	141000	なるほど、海外展開っていうのは簡単に言うとどんな感じなんですかね?
141000	144000	プロレスってご存知の方もいらっしゃると思うんですけれども、
144000	149000	日本国内だけじゃなくて海外でもすごい盛り上がりがあるコンテンツで、
149000	154000	そのマーケットの大きさは実は日本国内では引きじゃないぐらい大きいんですけれども、
154000	155000	そうなんですね。
155000	161000	レスルユニバースも結構海外からのお客様が多いっていうのが事前にわかっていたので、
161000	165000	あらかじめその海外のお客様にも快適にご利用いただけるように、
165000	170000	ちょっといろいろ考えてやっていきましょうっていう話を今日お話しできればなと思っております。
170000	171000	へー、初めて知りました。
171000	176000	結構日本のコンテンツ、アニメコンテンツとかもめっちゃ海外では人気ですけど、
176000	178000	プロレスも結構人気なんですね。
178000	179000	すごい人気ですね。
179000	181000	へー、初めて知りました。
181000	186000	あんまり今の若い人たちはどうなんですかね、プロレスとか見てるんですかね?
186000	192000	そうですね、ちょっと一昔前に比べたらちょっとマイナー感が出てしまったかもしれないんですけれども、
192000	195000	工業行くと結構老若男女と言いますか、
195000	201000	本当に子供さんから若い女の人から、それこそ人気の入った熱いファンまでいっぱいいるなっていうところで、
201000	203000	まだまだ人気のコンテンツっていうところですかね。
203000	207000	へー、確かにでも結構最近名前よく聞きますよね。
