start	end	text
0	11000	マディウェブポッドキャストは、マディの意味が泥であるように ウェブフロントエンドの開発現場における泥臭い話などから学びを得ることを目的とし、
11000	24000	実際に明日から使えるかもしれないウェブフロントエンド知識や技術を 参加者の皆様と共有し合うことを通して、フロントエンド海外の役に立てるように思いを込めて発信しています。
24000	28000	はい、それではマディウェブポッドキャストを始めていきたいと思います。
28000	32000	ファシリテーターを務めますは株式会社しろく石井です。
32000	38000	本日ゲストでお越しいただいている方が中川海人さんになります。
38000	40000	こんにちは、中川海人さん。
40000	41000	こんにちは、よろしくお願いします。
41000	42000	よろしくお願いします。
42000	47000	すいません、簡単に自己紹介、どこの事業所にいるかと自己紹介の方をよろしくお願いします。
47000	50000	はい、ファンベース事業部に所属しております。
50000	52000	中川海人と申します。
52000	58000	普段はファンベースアリーナというプラットフォームのウェブフロントエンドの事業に従事しております。
58000	68000	今回はウェブスピードハッカーソン2023の開発に携わりましたので、その裏側だったりとかこういうことがありましたよという話をさせていただければいいかなと思っております。
68000	69000	本日はよろしくお願いします。
69000	71000	はい、よろしくお願いします。
71000	79000	今さっき話し終わったんですけど、今日のトピックウェブスピードハッカーソンということで、前回2回目ですかね。
79000	92000	以前に同じような収録をして、その時が2022年の収録だったんですけども、今回2023年に行ったウェブスピードハッカーソンについてお話していけたらなと思います。
93000	102000	ウェブスピードハッカーソン、わからない、ご存知でない方がいらっしゃると思うので、簡単にウェブスピードハッカーソンとは何ぞやということをちょっと紹介していただけますか。
102000	118000	ウェブスピードハッカーソンとは、重たいサイトがイベントとして出題されるので、その重たいサイトっていうのをチューニングをして、使い勝手の良い軽いサイトにしていって、それを競っていただくっていう競技向けのイベントとなっております。
118000	129000	イメージしやすいので言うと、ミスコンのようなパフォーマンスチューニングのイベントがあるかなと思うんですけれども、それのウェブフロントエンド版だと思っていただくとイメージしやすいかなと思っております。
130000	139000	いかにもフロントエンドエンジニアが好きそうなパフォーマンスチューニングみたいな感じのやつのコンテストみたいな感じですよね。
139000	151000	僕まだ実は出てなくて、出ようと思っているんですけど、ちょっと機会がないので、今回2023年の運営を行っていただいたということですかね。
151000	152000	そうですね。
152000	159000	これ前回2022年と2013年の違いとか差分みたいなところって何かあるんですか。
159000	172000	そうですね。一番大きなイベントとしての差分っていうところだと、今年のウェブスピードハッカソンは学生と社内向けのイベントを同時に開催したっていうところが一番大きなところかなと思っています。
172000	175000	前回あれでしたっけ?別々でやったんでしたっけ?
175000	189000	そうですね。実は今までウェブスピードハッカソンは3回開催しているんですけれども、いずれも実はそれぞれのイベントで3回ウェブスピードハッカソンをやっていて、具体的には学生向け、社内向け、一般向けの3回をそれぞれやっていたんですね。
189000	200000	純粋に3回やるっていうところで運営のコストも結構大変だったりするので、そこを1回でまとめてやってみようっていうのが今年の新しい取り組みかなって感じですね。
200000	207000	そうですね。3回やるってなるとなかなか厳しいところを今回は1回でまとめてやったということで。
207000	214000	結構参加人数、そうすると合計すごく多いんじゃないですかね。今回どれくらい参加されたんですか?
214000	229000	そうですね。申し込みだけでも一般の方が70名超えで、学生の方も60名超えっていうところで、だいたい合計130人規模のイベントとなって、歴代で一番盛り上がったらいって感じですね。
229000	232000	すごいですね。今回オンラインとオフライン?
232000	236000	そうですね。オンライン、オフライン両方で開催したっていう感じですね。
236000	238000	オフラインは会場は?
238000	240000	そうですね。アルマタワーのところで。
240000	243000	はい。どれくらいオフラインで参加されました?今回。
243000	261000	そうですね。一応オフラインで参加してくださったのは学生の方だけっていうところで応募をかけたんですけれども、だいたいイベント自体は2日あったんですけど、合計で多分30名くらいの方がオフラインで参加してくださって、残りの方がオフラインっていう感じでしたね。
261000	277000	結構な方がオフラインで、コロナ明けっていうところからやっとオフラインでできたということで、その現場とか見てみたかったですけど、わきあいあいとしてやられた感じですか?
277000	291000	そうですね。もう意外と競技始まってしまえばみなさん自分のパフォーマンスの課題に取り組んじゃうので、もうほんと沈黙したという雰囲気があったりしたんですけれども、ほんとみなさん真剣に取り組んでいただいたって感じですね。
291000	296000	会場シーン、パソコンのタイピングの音だけが鳴り響くみたいな。
